iter	Passed	Remaining
1117	5886	20437
1118	5891	20433
1119	5895	20424
1120	5900	20416
1121	5906	20413
1122	5912	20411
1123	5918	20408
1124	5924	20404
1125	5929	20401
1126	5934	20395
1127	5940	20390
1128	5947	20391
1129	5953	20388
1130	5958	20382
1131	5963	20377
1132	5969	20374
1133	5974	20367
1134	5996	20419
1135	6002	20415
1136	6007	20411
1137	6013	20407
1138	6017	20399
1139	6022	20392
1140	6028	20390
1141	6034	20386
1142	6040	20382
1143	6045	20376
1144	6050	20369
1145	6055	20363
1146	6060	20357
1147	6064	20348
1148	6069	20341
1149	6075	20338
1150	6079	20329
1151	6083	20321
1152	6089	20317
1153	6094	20312
1154	6099	20306
1155	6105	20301
1156	6112	20303
1157	6118	20299
1158	6125	20299
1159	6130	20294
1160	6136	20289
1161	6140	20282
1162	6145	20275
1163	6152	20276
1164	6157	20270
1165	6163	20268
1166	6176	20288
1167	6181	20279
1168	6187	20276
1169	6194	20276
1170	6198	20269
1171	6205	20268
1172	6210	20263
1173	6215	20257
1174	6222	20254
1175	6228	20254
1176	6237	20258
1177	6242	20254
1178	6249	20254
1179	6255	20249
1180	6262	20249
1181	6270	20253
1182	6276	20251
1183	6283	20251
1184	6290	20252
1185	6296	20247
1186	6302	20243
1187	6307	20237
1188	6313	20236
1189	6319	20231
1190	6324	20227
1191	6330	20223
1192	6337	20222
1193	6343	20219
1194	6349	20218
1195	6356	20218
1196	6362	20215
1197	6368	20210
1198	6373	20204
1199	6379	20200
1200	6386	20200
1201	6390	20193
1202	6396	20189
1203	6402	20187
1204	6407	20180
1205	6413	20175
1206	6418	20171
1207	6424	20165
1208	6430	20163
1209	6435	20156
1210	6440	20149
1211	6445	20143
1212	6450	20138
1213	6455	20133
1214	6460	20126
1215	6466	20123
1216	6472	20119
1217	6477	20111
1218	6482	20108
1219	6487	20101
1220	6492	20095
1221	6498	20091
1222	6504	20089
1223	6510	20085
1224	6516	20080
1225	6521	20075
1226	6527	20072
1227	6538	20083
1228	6544	20080
1229	6550	20078
1230	6556	20073
1231	6562	20072
1232	6568	20068
1233	6573	20062
1234	6579	20058
1235	6583	20049
1236	6588	20042
1237	6593	20036
1238	6599	20034
1239	6605	20028
1240	6610	20022
1241	6614	20013
1242	6618	20003
1243	6624	20000
1244	6632	20004
1245	6639	20002
1246	6644	19998
1247	6649	19991
1248	6655	19988
1249	6663	19989
1250	6667	19981
1251	6673	19979
1252	6677	19969
1253	6682	19961
1254	6687	19956
1255	6693	19952
1256	6698	19945
1257	6704	19944
1258	6709	19937
1259	6714	19929
1260	6720	19927
1261	6725	19921
1262	6733	19924
1263	6740	19922
1264	6744	19915
1265	6749	19907
1266	6754	19902
1267	6761	19899
1268	6766	19893
1269	6771	19889
1270	6776	19881
1271	6780	19873
1272	6786	19868
1273	6792	19865
1274	6797	19860
1275	6803	19854
1276	6807	19846
1277	6811	19838
1278	6817	19834
1279	6824	19833
1280	6831	19832
1281	6837	19829
1282	6842	19822
1283	6848	19819
1284	6854	19815
1285	6859	19809
1286	6864	19803
1287	6869	19797
1288	6873	19788
1289	6878	19782
1290	6883	19776
1291	6890	19775
1292	6896	19771
1293	6901	19766
1294	6906	19759
1295	6911	19754
1296	6917	19750
1297	6923	19745
1298	6930	19746
1299	6935	19739
1300	6940	19732
1301	6947	19731
1302	6954	19731
1303	6959	19724
1304	6964	19719
1305	6969	19712
1306	6974	19705
1307	6980	19703
1308	6985	19698
1309	6990	19691
1310	6996	19685
1311	7000	19678
1312	7005	19671
1313	7010	19666
1314	7017	19664
1315	7024	19665
1316	7031	19663
1317	7036	19657
1318	7041	19651
1319	7047	19648
1320	7052	19641
1321	7059	19639
1322	7063	19631
1323	7067	19623
1324	7073	19618
1325	7078	19612
1326	7084	19609
1327	7091	19607
1328	7096	19602
1329	7103	19600
1330	7109	19596
1331	7115	19594
1332	7122	19594
1333	7128	19590
1334	7133	19583
1335	7138	19577
1336	7144	19572
1337	7149	19566
1338	7154	19562
1339	7160	19557
1340	7163	19546
1341	7167	19537
1342	7172	19530
1343	7177	19523
1344	7180	19513
1345	7186	19508
1346	7191	19501
1347	7195	19493
1348	7200	19487
1349	7205	19482
1350	7211	19476
1351	7215	19469
1352	7220	19463
1353	7224	19453
1354	7227	19442
1355	7232	19435
1356	7236	19426
1357	7241	19419
1358	7244	19408
1359	7248	19401
1360	7254	19396
1361	7258	19386
